cycle,time_ns,fan_in,input_events,output_spike,latency_ns
0,95.000,32,0,0,0.000
1,105.000,32,0,0,0.000
2,115.000,32,0,0,0.000
3,125.000,32,0,0,0.000
4,135.000,32,0,0,0.000
5,145.000,32,0,0,0.000
6,155.000,32,0,0,0.000
7,165.000,32,0,0,0.000
8,175.000,32,0,0,0.000
9,185.000,32,0,0,0.000
10,195.000,32,0,0,0.000
11,205.000,32,0,0,0.000
12,215.000,32,0,0,0.000
13,225.000,32,0,0,0.000
14,235.000,32,0,0,0.000
15,245.000,32,0,0,0.000
16,255.000,32,0,0,0.000
17,265.000,32,0,0,0.000
18,275.000,32,0,0,0.000
19,285.000,32,0,0,0.000
20,295.000,32,0,0,0.000
21,305.000,32,0,0,0.000
22,315.000,32,0,0,0.000
23,325.000,32,0,0,0.000
24,335.000,32,0,0,0.000
25,345.000,32,0,0,0.000
26,355.000,32,0,0,0.000
27,365.000,32,0,0,0.000
28,375.000,32,0,0,0.000
29,385.000,32,0,0,0.000
30,395.000,32,0,0,0.000
31,405.000,32,0,0,0.000
32,415.000,32,0,0,0.000
33,425.000,32,0,0,0.000
34,435.000,32,0,0,0.000
35,445.000,32,0,0,0.000
36,455.000,32,0,0,0.000
37,465.000,32,0,0,0.000
38,475.000,32,0,0,0.000
39,485.000,32,0,0,0.000
40,495.000,32,0,0,0.000
41,505.000,32,0,0,0.000
42,515.000,32,0,0,0.000
43,525.000,32,0,0,0.000
44,535.000,32,0,0,0.000
45,545.000,32,0,0,0.000
46,555.000,32,0,0,0.000
47,565.000,32,0,0,0.000
48,575.000,32,0,0,0.000
49,585.000,32,0,0,0.000
50,595.000,32,0,0,0.000
51,605.000,32,0,0,0.000
52,615.000,32,0,0,0.000
53,625.000,32,0,0,0.000
54,635.000,32,0,0,0.000
55,645.000,32,0,0,0.000
56,655.000,32,0,0,0.000
57,665.000,32,32,0,0.000
58,675.000,32,0,0,0.000
59,685.000,32,0,0,0.000
60,695.000,32,0,1,0.000
61,705.000,32,0,0,30.000
62,715.000,32,0,0,0.000
63,725.000,32,0,0,0.000
64,735.000,32,0,0,0.000
65,745.000,32,0,1,0.000
66,755.000,32,0,0,80.000
67,765.000,32,0,0,0.000
68,775.000,32,0,0,0.000
69,785.000,32,0,0,0.000
70,795.000,32,0,0,0.000
71,805.000,32,0,1,0.000
72,815.000,32,0,0,140.000
73,825.000,32,0,0,0.000
74,835.000,32,0,0,0.000
75,845.000,32,0,0,0.000
76,855.000,32,0,0,0.000
77,865.000,32,0,0,0.000
78,875.000,32,0,1,0.000
79,885.000,32,0,0,210.000
80,895.000,32,0,0,0.000
81,905.000,32,0,0,0.000
82,915.000,32,0,0,0.000
83,925.000,32,0,0,0.000
84,935.000,32,0,0,0.000
85,945.000,32,0,0,0.000
86,955.000,32,0,0,0.000
87,965.000,32,0,0,0.000
88,975.000,32,0,1,0.000
89,985.000,32,0,0,310.000
90,995.000,32,0,0,0.000
91,1005.000,32,0,0,0.000
92,1015.000,32,0,0,0.000
93,1025.000,32,0,0,0.000
94,1035.000,32,0,0,0.000
95,1045.000,32,0,0,0.000
96,1055.000,32,0,0,0.000
97,1065.000,32,0,0,0.000
98,1075.000,32,32,0,0.000
99,1085.000,32,0,0,0.000
100,1095.000,32,0,0,0.000
101,1105.000,32,0,1,0.000
102,1115.000,32,0,0,440.000
103,1125.000,32,0,0,0.000
104,1135.000,32,0,0,0.000
105,1145.000,32,0,0,0.000
106,1155.000,32,0,1,0.000
107,1165.000,32,0,0,490.000
108,1175.000,32,0,0,0.000
109,1185.000,32,0,0,0.000
110,1195.000,32,0,0,0.000
111,1205.000,32,0,0,0.000
112,1215.000,32,0,1,0.000
113,1225.000,32,0,0,550.000
114,1235.000,32,0,0,0.000
115,1245.000,32,0,0,0.000
116,1255.000,32,0,0,0.000
117,1265.000,32,0,0,0.000
118,1275.000,32,0,0,0.000
119,1285.000,32,0,1,0.000
120,1295.000,32,0,0,620.000
121,1305.000,32,0,0,0.000
122,1315.000,32,0,0,0.000
123,1325.000,32,0,0,0.000
124,1335.000,32,0,0,0.000
125,1345.000,32,0,0,0.000
126,1355.000,32,0,0,0.000
127,1365.000,32,0,0,0.000
128,1375.000,32,0,0,0.000
129,1385.000,32,32,1,0.000
130,1395.000,32,0,0,720.000
131,1405.000,32,0,0,0.000
132,1415.000,32,0,0,0.000
133,1425.000,32,0,0,0.000
134,1435.000,32,0,1,0.000
135,1445.000,32,0,0,770.000
136,1455.000,32,0,0,0.000
137,1465.000,32,0,0,0.000
138,1475.000,32,0,0,0.000
139,1485.000,32,0,0,0.000
140,1495.000,32,0,1,0.000
141,1505.000,32,0,0,830.000
142,1515.000,32,0,0,0.000
143,1525.000,32,0,0,0.000
144,1535.000,32,0,0,0.000
145,1545.000,32,0,0,0.000
146,1555.000,32,0,1,0.000
147,1565.000,32,0,0,890.000
148,1575.000,32,0,0,0.000
149,1585.000,32,0,0,0.000
150,1595.000,32,0,0,0.000
151,1605.000,32,0,0,0.000
152,1615.000,32,0,0,0.000
153,1625.000,32,0,0,0.000
154,1635.000,32,0,1,0.000
155,1645.000,32,0,0,970.000
156,1655.000,32,0,0,0.000
157,1665.000,32,0,0,0.000
158,1675.000,32,0,0,0.000
159,1685.000,32,0,0,0.000
160,1695.000,32,0,0,0.000
161,1705.000,32,0,0,0.000